"tag_index","global_pvalue","video1concordance","video2concordance","video3concordance","video4concordance","video5concordance","video6concordance","video7concordance","video8concordance","video1pvalue","video2pvalue","video3pvalue","video4pvalue","video5pvalue","video6pvalue","video7pvalue","video8pvalue","video1mean","video2mean","video3mean","video4mean","video5mean","video6mean","video7mean","video8mean","video1sd","video2sd","video3sd","video4sd","video5sd","video6sd","video7sd","video8sd"
49,1,0.961111111111111,0.85625,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0194444444444444,0.071875,0,0,0,0,0,0,0.138273163184589,0.258685336747709,0,0,0,0,0,0
50,0,0.983333333333333,0.909722222222222,0.994285714285714,0.948348348348348,1,0.937777777777778,0.795,0.895833333333333,1,0.002,1,0.132,1,0.003,0,0.074,0.00833333333333333,0.05,0.00285714285714286,0.027027027027027,0,0.0342857142857143,0.1475,0.05625,0.0910324561790707,0.218286286379416,0.0534522483824849,0.162381745420722,0,0.182222599384834,0.355047739385998,0.23076470938421
51,0.062,1,1,1,1,1,0.982857142857143,0.952777777777778,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0.00857142857142857,0.0275,0,0,0,0,0,0,0.0923163508644152,0.163739967455585,0
54,1,1,1,1,0.994594594594595,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.0027027027027027,0,0,0,0,0,0,0,0.0519875244910036,0,0,0,0
55,0.001,1,1,1,1,1,0.945396825396825,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0.0342857142857143,0,0,0,0,0,0,0,0.182222599384834,0,0
64,1,1,1,1,0.983783783783784,1,0.988571428571429,0.97,1,1,1,1,1,1,1,1,1,0,0,0,0.00810810810810811,0,0.00571428571428571,0.015,0,0,0,0,0.0898006777407515,0,0.0754845176362906,0.121704683867089,0
66,1,1,1,1,1,1,1,0.99,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0.0706220126566724,0
69,0,0.994444444444444,1,1,1,1,0.878095238095238,1,1,1,1,1,1,1,0,1,1,0.00277777777777778,0,0,0,0,0.08,0,0,0.052704627669473,0,0,0,0,0.27168159351003,0,0
70,0.166,0.994444444444444,1,0.994285714285714,1,1,0.961269841269841,1,1,1,1,1,1,1,0.166,1,1,0.00277777777777778,0,0.00285714285714286,0,0,0.02,0,0,0.052704627669473,0,0.0534522483824849,0,0,0.140200429594394,0,0
73,1,1,1,1,1,0.993548387096774,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.0032258064516129,0,0,0,0,0,0,0,0.0567961834247065,0,0,0
74,0,0.819753086419753,0.852777777777778,0.957460317460317,0.884684684684685,0.881720430107527,0.972698412698413,0.935,0.921527777777778,0.698,0.027,0,0.001,0.271,0.112,1,0,0.0944444444444444,0.08125,0.0257142857142857,0.0648648648648649,0.0612903225806452,0.0142857142857143,0.0325,0.046875,0.29285307185698,0.273646569759363,0.158508190640751,0.246620756237514,0.240249895998736,0.118835942251037,0.177545927553908,0.211702125564795
75,0,0.722222222222222,0.854861111111111,0.868571428571429,0.920720720720721,0.637992831541219,0.977142857142857,0.915555555555556,0.932638888888889,0,0,0,0.002,0,1,0.106,0.633,0.172222222222222,0.090625,0.0828571428571429,0.0432432432432432,0.261290322580645,0.0114285714285714,0.045,0.034375,0.378098976821678,0.287524702496072,0.276060823709611,0.203679620548673,0.440048113988108,0.10644403017341,0.207563741455287,0.182475789608111
76,0,0.875308641975309,0.859722222222222,0.935238095238095,0.795195195195195,1,0.971428571428571,0.924444444444444,0.927777777777778,0.053,0.006,0.174,0.018,1,1,0.06,0.094,0.0666666666666667,0.075,0.0342857142857143,0.116216216216216,0,0.0142857142857143,0.04,0.0375,0.249790998988129,0.263803859882732,0.182222599384834,0.320917986731605,0,0.118835942251037,0.196204588635189,0.190281098776847
77,1,0.988888888888889,0.9875,1,1,1,1,0.99,0.99375,1,1,1,1,1,1,1,1,0.00555555555555556,0.00625,0,0,0,0,0.005,0.003125,0.0744317168312178,0.0789329305392304,0,0,0,0,0.0706220126566724,0.0559016994374947
78,0.004,0.800617283950617,0.8375,0.723809523809524,0.6996996996997,0.930465949820789,0.965714285714286,0.888888888888889,0.875,0.029,0.679,0.007,0.01,0.642,1,0.165,0.068,0.113888888888889,0.0875,0.162857142857143,0.178378378378378,0.0354838709677419,0.0171428571428571,0.06,0.06875,0.318118404208645,0.283008911321088,0.369763894532105,0.383349335215768,0.18529847713616,0.129989451380962,0.237784258064866,0.253424817117492
